"","from","to","x2","var0","var1","var2","var3","var4","var5","var6","var7","var8","var9","var10","var11","var12","var13","var14","var15","var16","var17","var18","var19","var20","var21","var22","var23","var24","atividade","acesso","acesso_positivo","acesso_negativo","confianca","acessoeconfianca","total","neg_x2","neg_var0","neg_var1","neg_var2","neg_var3","neg_var4","neg_var5","neg_var6","neg_var7","neg_var8","neg_var9","neg_var10","neg_var11","neg_var12","neg_var13","neg_var14","neg_var15","neg_var16","neg_var17","neg_var18","neg_var19","neg_var20","neg_var21","neg_var22","neg_var23","neg_var24","neg_atividade","neg_acesso","neg_acesso_positivo","neg_acesso_negativo","neg_confianca","neg_acessoeconfianca","neg_total","aux_x2","weight","equalone"
"1","ASS_HOS_ Hospital de Pronto Socorro – HPS","UAP_RUR_ Buiéié",1,1,1,1,0,0,0,0,3,3,2,2,2,3,1,2,2,2,2,2,2,2,2,2,3,3,2,22,16,6,18,40,42,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,4,6,6,2,6,8,1,1,1
"2","AMB_SAM_ Centro de Atenção à Saúde Mental (CASM)","UAP_RUR_ Buiéié",1,0,0,1,1,0,0,0,3,2,2,2,2,2,3,1,1,3,3,3,2,2,3,2,3,3,2,21,16,5,21,42,44,1,0,0,1,1,0,0,0,1,0,0,0,0,0,-1,1,1,1,1,1,0,0,1,0,1,1,2,2,2,5,5,7,9,1,1,1
"3","ASS_HOS_ Hospital de Pronto Socorro – HPS","UAP_RUR_ Caeté",1,1,1,1,0,0,0,0,3,3,2,2,2,3,1,2,2,2,2,2,2,2,2,2,3,3,2,22,16,6,18,40,42,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,4,6,6,2,6,8,1,1,1
"4","CRAS_AS_ CRAS Sudeste Costa Carvalho","UAP_RUR_ Caeté",1,1,1,1,1,0,1,0,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,2,3,3,4,24,19,5,23,47,51,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,4,9,9,5,7,16,20,1,1,1
"5","CRE_SOC_ CREAS Infância e Juventude","UAP_RUR_ Caeté",1,1,1,0,0,0,0,0,3,3,3,3,3,3,3,2,2,3,2,2,2,3,3,2,3,3,1,28,21,7,20,48,49,1,1,1,0,0,0,0,0,1,1,1,1,1,1,-1,0,0,1,0,0,0,1,1,0,1,1,1,5,7,7,4,9,10,1,1,1
"6","AMB_SAM_ Centro de Atenção à Saúde Mental (CASM)","UAP_RUR_ Caeté",1,0,0,1,1,0,0,0,3,2,2,2,2,2,3,1,1,3,3,3,2,2,3,2,3,3,2,21,16,5,21,42,44,1,0,0,1,1,0,0,0,1,0,0,0,0,0,-1,1,1,1,1,1,0,0,1,0,1,1,2,2,2,5,5,7,9,1,1,1
"7","ASS_HOS_ Hospital de Pronto Socorro – HPS","UAP_RUR_ Chapéu D'Uvas",1,1,1,1,0,0,0,0,3,3,2,2,2,3,1,2,2,2,2,2,2,2,2,2,3,3,2,22,16,6,18,40,42,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,4,6,6,2,6,8,1,1,1
"8","CRE_SOC_ CREAS Norte","UAP_RUR_ Chapéu D'Uvas",1,1,1,0,1,0,0,0,3,3,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,18,13,5,24,42,44,1,1,1,0,1,0,0,0,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,5,8,11,13,1,1,1
"9","AMB_SAM_ Centro de Atenção à Saúde Mental (CASM)","UAP_RUR_ Chapéu D'Uvas",1,0,0,1,1,0,0,0,3,2,2,2,2,2,3,1,1,3,3,3,2,2,3,2,3,3,2,21,16,5,21,42,44,1,0,0,1,1,0,0,0,1,0,0,0,0,0,-1,1,1,1,1,1,0,0,1,0,1,1,2,2,2,5,5,7,9,1,1,1
"10","ASS_HOS_ Hospital de Pronto Socorro – HPS","UAP_RUR_ Dias Tavares",1,1,1,1,0,0,0,0,3,3,2,2,2,3,1,2,2,2,2,2,2,2,2,2,3,3,2,22,16,6,18,40,42,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,4,6,6,2,6,8,1,1,1
"11","CRE_SOC_ CREAS Norte","UAP_RUR_ Dias Tavares",1,1,1,0,1,0,0,0,3,3,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,18,13,5,24,42,44,1,1,1,0,1,0,0,0,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,5,8,11,13,1,1,1
"12","AMB_SAM_ Centro de Atenção à Saúde Mental (CASM)","UAP_RUR_ Dias Tavares",1,0,0,1,1,0,0,0,3,2,2,2,2,2,3,1,1,3,3,3,2,2,3,2,3,3,2,21,16,5,21,42,44,1,0,0,1,1,0,0,0,1,0,0,0,0,0,-1,1,1,1,1,1,0,0,1,0,1,1,2,2,2,5,5,7,9,1,1,1
